vocab_word,baseline_prompt,vocab_with_definition_prompt,masked_vocab_word_prompt,low_context_example,high_context_example
worker,The construction worker labored tirelessly on the scaffolding to ensure the building's completion on time.,The construction worker carefully carried a heavy beam across the site.,The librarian was surprised to see the worker's old car parked in the library's lot.,he is a good worker,"a person who works at a specific occupation, he is a good worker"
worker,The factory worker carefully inspected the assembly line for any defects.,The construction worker was busy operating heavy machinery on the busy site.,"The city council voted to hire worker's design to create a new community center, which would feature a state-of-the-art gym and a large indoor pool.",he's a miracle worker,"a person who acts and gets things done, he's a miracle worker"
unhesitating,"When the fire alarm went off, she stepped out of the building unhesitatingly.","The nurse administered the medication unhesitatingly, reassuring the anxious patient that everything would be okay.","The unhesitating's responses were swift and decisive, leaving the opposition scrambling to keep up.",his reply was unhesitating,"characterized by quickness and firmness, his reply was unhesitating"
catastrophic,The company's financial situation became catastrophic after the natural disaster destroyed their headquarters.,"The massive earthquake left the city in a catastrophic state, with buildings destroyed and power lines down.",The fire that ravaged the city was a catastrophic.,a catastrophic depression,"extremely harmful; bringing physical or financial ruin, a catastrophic depression"
survive,"A group of hikers had to survive the harsh conditions of the mountain, including freezing temperatures and steep cliffs.",The storm was so intense that many people were forced to survive on whatever food they could find in the abandoned house.,The elderly woman was determined to survive.,These superstitions survive in the backwaters of America,"continue to live and avoid dying, These superstitions survive in the backwaters of America"
subfusc,The academic regalia of the university included a subfusc gown worn by all students on formal occasions.,The artist struggled to create a subfusc painting that would capture the essence of the city's dull winter landscape.,The library was a subfusc.,a subfusc mining town,"devoid of brightness or appeal, a subfusc mining town"
venomousness,The snake's venomousness was a major concern for the hikers as they navigated through the dense jungle.,The snake's venomousness was the reason why it was feared by all who lived in the jungle.,The snake's venomousnesss secretions were so potent that they could kill a human in a matter of minutes.,"Black-tailed prairie dogs also adjust their antisnake behavior to apparent risk, as indicated by the size and venomousness of the snake.","The property of being poisonous or envenomed; or of having a venom-producing gland., Black-tailed prairie dogs also adjust their antisnake behavior to apparent risk, as indicated by the size and venomousness of the snake."
unswerving,The young artist's unswerving dedication to her craft had earned her a reputation as a true master of her medium.,The runner's unswerving determination to cross the finish line first motivated her teammates to push through their exhaustion and give it their all.,"The hikers were determined to reach the summit of the mountain, and they set off in a unswerving.",a straight and narrow tree-lined road unswerving across the lowlands,"going directly ahead from one point to another without veering or turning aside, a straight and narrow tree-lined road unswerving across the lowlands"
atheist,A person who claims to be an atheist was arrested for trespassing on private property.,The philosopher's rejection of traditional religious beliefs led him to be labeled an atheist by his peers.,The atheist's views on the universe were not in line with the traditional beliefs of his community.,atheist leanings,"related to or characterized by or given to atheism, atheist leanings"
jarringly,The new employee's awkward dance moves at the company's holiday party were jarringly out of sync with the rest of the group.,The city's sudden transition from quiet residential streets to a bustling nightlife was jarringly abrupt.,The teacher's constant use of jarringly'ed speech in the classroom made it difficult for the students to focus on the lesson.,the piano was jarringly out of tune,"in a manner that jars and irritates, the piano was jarringly out of tune"
unkind,"She was known for being unkind to her little brother, often taking his toys without asking.",The teacher was very unkind when she yelled at the student who couldn't answer the question.,"The neighbors were shocked to see the unkind-hearted man who had been living next door for years, finally receiving a parking ticket from the local police.",a thoughtless and unkind remark,"lacking kindness, a thoughtless and unkind remark"
effeminateness,The cultural critique of effeminatenesses in 19th-century literature often focused on the perceived threat they posed to traditional masculinity.,"The politician's critics accused him of displaying effeminatenesses in his public speeches, suggesting that he was more concerned with his appearance than with the issues at hand.",The coach was worried that effeminateness's behavior on the field would undermine his team's tough image.,Spartans accused Athenians of effeminateness,"the trait of being effeminate (derogatory of a man), Spartans accused Athenians of effeminateness"
roundup,The cowboy rode into town for the annual roundup of cattle.,The police began a massive roundup of suspects in the city after a string of high-profile burglaries.,The police were busy with roundup's efforts to identify the perpetrators of the string of burglaries that had plagued the city.,a mass roundup of suspects,"the systematic gathering up of suspects by the police, a mass roundup of suspects"
straying,The hikers got lost because they strayed from the designated path.,"The hikers were supposed to follow the well-marked trail, but they ended up straying into a dense thicket of bushes.","The hikers were lost in the woods and couldn't find their way back to camp, their straying-ness causing them to stumble over every root and rock.",found the straying sheep,"unable to find your way, found the straying sheep"
mow,"The gardener began to mow the lawn with a loud, whirring machine.","She began to mow the lawn with a noisy machine, careful not to cut her fingers on the sharp blade.",The gardener used mow's sharp edge to cut through the thick weeds that were choking the garden.,mow the grass,"cut with a blade or mower, mow the grass"
resourceful,"She was a resourceful traveler who navigated the foreign streets without a map, speaking to locals to find her way to the hotel.","The resourceful hiker used a piece of string to fix her broken backpack strap, and then improvised a makeshift shelter using only a tarp and some nearby branches.","She was a resourceful'ly crafted artist, weaving intricate patterns with an intuitive sense of color and texture that seemed to dance across the canvas.",someone who is resourceful is capable of dealing with difficult situations,"having inner resources; adroit or imaginative, someone who is resourceful is capable of dealing with difficult situations"
hesitancy,She had a visible hesitancy in her voice when she was asked to give a speech in front of her entire class.,The manager's hesitancy to invest in the new marketing strategy was a major point of contention during the board meeting.,"She couldn't muster up the enthusiasm to go to the party, but her friend convinced her with the promise of free food, which made her feel a bit more hesitancy.",his hesitancy revealed his basic indisposition,"a certain degree of unwillingness, his hesitancy revealed his basic indisposition"
isogloss,"In linguistics, the term isogloss refers to a line on a map that separates two dialects or languages with different linguistic features, often used to illustrate the geographic distribution of linguistic variations.","The geographer used an isogloss to map the linguistic variations across the country, distinguishing between regions where people pronounced the ""a"" in ""car"" as a short vowel and those where it was pronounced as a long vowel.",The professor's isogloss's definition was challenged by a student who claimed the term was too vague and didn't account for regional variations.,"A major isogloss in American English has been identified as the North-Midland isogloss, which demarcates numerous linguistic features, including the Northern Cities vowel shift.","the locative boundary of a certain linguistic feature, such as the pronunciation of a vowel, the meaning of a word, or use of some syntactic feature., A major isogloss in American English has been identified as the North-Midland isogloss, which demarcates numerous linguistic features, including the Northern Cities vowel shift."
float,The helium balloon floated gently across the sky.,"She carefully floated the candle across the wobbly table, trying not to let it fall.",The old farmer tried to float-ed the rough dirt floor of the barn with a flat stone.,float the plaster,"make the surface of level or smooth, float the plaster"
float,The pilot carefully navigated the float plane through the choppy waters.,The captain floated the life raft into the choppy waters.,The ship was float-ed into the harbor.,float a ship,"put into the water, float a ship"
recharge,The hikers had to recharge at the campsite before tackling the last stretch of the mountain trail.,"After a long hike, Sarah decided to stop at a nearby power station to recharge her phone and her spirits.","After the recharge'ing of my phone, I was surprised to find my battery was still at 20%.",recharge a battery,"charge anew, recharge a battery"
absence,The teacher noticed the student's absence from the classroom and sent a note to the parents.,"The teacher noticed a significant absence in the classroom today, as many students failed to show up for the exam.",The teacher asked the student to leave the room because of absence.,he was surprised by the absence of any explanation,"the state of being absent, he was surprised by the absence of any explanation"
highbrowed,She was a bit taken aback by her highbrowed professor's condescending tone in the lecture on modern art.,The professor's hightbrowed tastes often led him to recommend obscure literature to his students.,The highbrowed's collection of rare art and antiques was a testament to their refined tastes.,a highbrowed literary critic,"highly cultured or educated, a highbrowed literary critic"
annalistic,"The historian's meticulous research was annalistic in its thoroughness, tracing every event, no matter how small, in meticulous detail, year by year, to create a comprehensive record of the city's history.",The medieval historian's meticulous annalistic research revealed a previously unknown era of Viking raids on the British Isles.,"The annalistic's meticulous records of historical events have been preserved for centuries, allowing researchers to piece together a comprehensive understanding of the past.",a book with an annalistic approach,"relating to annals, a book with an annalistic approach"
tigerish,The fire in the fireplace crackled and spat with a tigerish intensity that seemed to dance across the room.,"The police officer's tigerish gaze swept the crowded streets, making everyone tremble with fear.",The tigerish's wrath was feared by all who crossed its path.,a tigerish fury,"resembling a tiger in fierceness and lack of mercy, a tigerish fury"
bannerlike,The parade was led by a bannerlike display of colorful flags waving in the wind.,The marching band's bannerlike flags flapped wildly in the strong gusts of wind.,"The parade route was lined with colorful bannerlikes that waved in the wind, their intricate designs and patterns making a stunning display for the thousands of spectators gathered along the way.",She waved her scarf at him bannerlike,"like a banner, She waved her scarf at him bannerlike"
forgiving,"She's a very forgiving person, always willing to give her friends another chance after they've let her down.","She was a forgiving person who often went out of her way to help those in need, even when they had wronged her in the past.",The judge was forgiving.,a kindly forgiving nature,"inclined or able to forgive and show mercy, a kindly forgiving nature"
consolidate,The company will consolidate its operations into a single building in order to cut costs and improve efficiency.,The new management team worked to consolidate the company's financial situation by restructuring debt and making smart investments.,The contractor had to consolidate-up the foundation of the house before building the new addition.,consolidate one's gains,"make firm or secure; strengthen, consolidate one's gains"
consolidate,"The company plans to consolidate its operations in the new facility, which will allow it to streamline its processes and reduce overhead costs.","The construction company consolidated the wet cement into a hard, usable road.",The artist carefully consolidate'd the clay to create a beautiful sculpture.,consolidate one's hold on first place,"make or form into a solid or hardened mass, consolidate one's hold on first place"
ferociously,"The dog attacked the mailman ferociously, biting him several times before the owner managed to pull him off.","The lions attacked the tourists ferociously, sending them running for their lives.","The crowd went wild as the boxer ferociously'ed his way across the ring, his fists flying in every direction.",silence broken by dogs barking ferociously,"in a physically fierce manner, silence broken by dogs barking ferociously"
carjack,A group of teenagers attempted to carjack a motorist at a busy intersection.,The driver of the car was carjacked at a stoplight by a man who jumped out of a nearby vehicle.,"The police were called to the scene where a group of teenagers had carjack-ed a man's prized sports car, leaving him distraught and shaken.",My car was carjacked last night!,"take someone's car from him by force, usually with the intention of stealing it, My car was carjacked last night!"
