,word,freq,pos
0,the,9243,"(definite article, adverb)"
1,of,5220,(preposition)
2,and,5196,(conjunction)
3,to,4951,"(preposition, adverb)"
4,a,4506,"(indefinite article, noun, preposition)"
5,in,2822,"(preposition, adverb)"
6,is,2699,(verb)
7,you,2041,"(pronoun, noun)"
8,are,1843,(verb)
9,for,1752,"(preposition, conjunction)"
10,that,1743,"(pronoun, adjective, adverb, conjunction)"
11,or,1487,(conjunction)
12,it,1386,"(pronoun, noun)"
13,as,1363,"(adverb, conjunction, pronoun, preposition)"
14,be,1145,"(verb, auxiliary verb)"
15,on,1087,"(preposition, adverb, adjective)"
16,your,1067,(pronoun)
17,with,1062,(preposition)
18,can,895,"(auxiliary verb, noun)"
19,have,891,"(verb, auxiliary verb)"
20,this,864,"(pronoun, adjective, adverb)"
21,an,754,(indefinite article)
22,by,706,"(preposition, adverb)"
23,not,658,(adverb)
24,but,626,"(conjunction, preposition, adverb, noun)"
25,at,624,(preposition)
26,from,622,(preposition)
27,I,621,(pronoun)
28,they,617,(pronoun)
29,more,597,"(adjective, adverb)"
30,will,577,"(auxiliary verb, noun)"
31,if,546,"(conjunction, noun)"
32,some,501,"(adjective, pronoun, adverb)"
33,there,470,"(adverb, pronoun, noun, adjective)"
34,what,461,"(pronoun, adjective, adverb, interjection)"
35,about,451,"(preposition, adverb, adjective)"
36,which,449,"(pronoun, adjective)"
37,when,442,"(adverb, conjunction)"
38,one,441,"(adjective, noun, pronoun)"
39,their,439,(pronoun)
40,all,438,"(adjective, pronoun, noun, adverb)"
41,also,419,(adverb)
42,how,412,"(adverb, conjunction)"
43,many,397,"(adjective, noun, pronoun)"
44,do,389,(auxiliary verb)
45,has,384,(verb)
46,most,378,"(adjective, noun, adverb)"
47,people,372,(noun)
48,other,369,"(adjective, noun, pronoun, adverb)"
49,time,369,"(noun, adjective, verb)"
50,so,352,"(adverb, conjunction, pronoun, adjective)"
51,was,352,"(past, verb)"
52,we,352,(pronoun)
53,these,344,"(pronoun, adjective)"
54,may,336,(auxiliary verb)
55,like,324,"(preposition, verb, conjunction, adverb)"
56,use,319,"(verb, noun)"
57,into,301,(preposition)
58,than,301,(conjunction)
59,up,296,"(adverb, preposition, adjective, noun)"
60,out,294,"(adverb, preposition, adjective, interjection)"
61,who,281,(pronoun)
62,them,269,(pronoun)
63,make,262,"(verb, noun)"
64,because,248,(conjunction)
65,such,236,"(adjective, adverb)"
66,through,235,"(preposition, adverb, adjective)"
67,get,233,(verb)
68,work,224,"(noun, adjective, verb)"
69,even,223,"(adjective, verb, adverb)"
70,different,215,(adjective)
71,its,215,(pronoun)
72,no,213,"(adverb, adjective, noun)"
73,our,213,(pronoun)
74,new,210,"(adjective, adverb)"
75,film,209,"(noun, verb)"
76,just,208,"(adjective, adverb)"
77,only,208,"(adverb, adjective, conjunction)"
78,see,204,(verb)
79,used,204,(adjective)
80,good,201,"(adjective, noun, adverb, interjection)"
81,water,201,"(noun, verb, adjective)"
82,been,200,"(past, verb)"
83,need,193,(verb)
84,should,191,(auxiliary verb)
85,very,191,(adverb)
86,any,190,"(adjective, adverb)"
87,history,187,(noun)
88,often,187,(adverb)
89,way,185,(noun)
90,well,184,"(adverb, verb, noun, interjection)"
91,art,183,(noun)
92,know,181,(verb)
93,were,180,"(past, verb)"
94,then,179,"(adverb, adjective)"
95,my,177,(pronoun)
96,first,176,"(adverb, adjective)"
97,would,176,(verb)
98,money,174,"(noun, adjective)"
99,each,173,"(adjective, adverb)"
100,over,170,"(preposition, adjective, noun)"
101,world,169,(noun)
102,information,168,(noun)
103,map,167,(noun)
104,find,166,(verb)
105,where,166,"(adverb, pronoun, noun)"
106,much,165,"(adjective, adverb)"
107,take,164,(verb)
108,two,164,(noun)
109,want,163,(verb)
110,important,160,(adjective)
111,family,159,(noun)
112,those,156,(pronoun)
113,example,147,"(noun, verb)"
114,while,147,"(noun, conjunction, preposition, verb)"
115,he,144,(pronoun)
116,look,144,"(verb, noun, interjection)"
117,government,143,(noun)
118,before,141,"(preposition, adverb, conjunction)"
119,help,141,"(verb, noun, interjection)"
120,between,137,"(preposition, adverb)"
121,go,131,"(verb, noun, adjective, interjection)"
122,own,130,"(adjective, verb)"
123,however,128,(adverb)
124,business,127,"(noun, adjective)"
125,us,127,(pronoun)
126,great,126,"(adjective, noun, adverb, interjection)"
127,his,125,"(pronoun, adjective)"
128,being,124,"(verb, noun)"
129,another,123,"(adjective, pronoun)"
130,health,122,(noun)
131,same,120,"(adjective, pronoun, adverb)"
132,study,118,"(noun, verb)"
133,why,118,"(adverb, conjunction, noun, interjection)"
134,few,117,"(adjective, noun, pronoun)"
135,game,117,"(noun, adjective, verb)"
136,might,116,"(auxiliary verb, noun)"
137,think,116,"(verb, adjective, noun)"
138,free,115,"(adjective, adverb, verb)"
139,too,114,(adverb)
140,had,113,(auxiliary verb)
141,hi,113,(interjection)
142,right,113,"(adjective, adverb, noun, verb)"
143,still,112,"(adjective, noun, adverb, verb)"
144,system,111,(noun)
145,after,110,"(preposition, adjective, adverb)"
146,computer,109,(noun)
147,best,108,"(adjective, adverb, noun, verb)"
148,must,108,"(auxiliary verb, verb, adjective, noun)"
149,her,107,(pronoun)
150,life,107,"(noun, adjective)"
151,since,107,"(preposition, adverb, conjunction)"
152,could,105,(auxiliary verb)
153,does,104,(verb)
154,now,104,"(adverb, conjunction, adjective)"
155,during,103,(preposition)
156,learn,102,(verb)
157,around,101,"(adverb, preposition)"
158,usually,101,(adverb)
159,form,99,"(noun, verb)"
160,meat,99,(noun)
161,air,98,"(noun, verb)"
162,day,98,"(noun, adjective)"
163,place,98,"(noun, verb)"
164,become,97,(verb)
165,number,97,"(noun, verb)"
166,public,97,"(adjective, noun)"
167,read,97,"(verb, noun)"
168,keep,96,"(verb, noun)"
169,part,96,"(noun, verb, adverb)"
170,start,96,"(verb, noun)"
171,year,96,(noun)
172,every,95,(adjective)
173,field,95,"(noun, verb, adjective)"
174,large,95,(adjective)
175,once,95,"(adverb, conjunction)"
176,available,94,(adjective)
177,down,94,"(adverb, preposition, adjective, verb)"
178,give,93,"(verb, noun)"
179,fish,92,"(noun, verb)"
180,human,92,"(adjective, noun)"
181,both,91,"(adjective, adverb)"
182,local,90,"(adjective, noun)"
183,sure,90,"(adjective, adverb)"
184,something,89,(pronoun)
185,without,89,"(preposition, adverb, conjunction)"
186,come,88,(verb)
187,me,88,(pronoun)
188,back,86,"(noun, adverb, verb, adjective)"
189,better,86,"(adjective, adverb, noun, verb)"
190,general,85,"(adjective, noun)"
191,process,85,"(noun, verb)"
192,she,85,"(pronoun, noun)"
193,heat,84,"(noun, verb)"
194,thanks,84,(noun)
195,specific,83,"(adjective, noun)"
